Tick 33957(33946), Delay 43 ms, IGT 28:17.207, RTA 34:34.297-34:34.340
Tick 34108(34097), Delay 64 ms, IGT 28:24.757, RTA 34:41.842-34:41.906
Tick 34109(34098), Delay 37 ms, IGT 28:24.807, RTA 34:41.906-34:41.943
Tick 34185(34174), Delay 45 ms, IGT 28:28.607, RTA 34:45.695-34:45.740
Tick 34264(34253), Delay 55 ms, IGT 28:32.557, RTA 34:49.640-34:49.695
Tick 34585(34574), Delay 45 ms, IGT 28:48.607, RTA 35:05.695-35:05.740
Tick 34645(34633), Delay 270 ms, IGT 28:51.557, RTA 35:08.693-35:08.963
Tick 34646(34633), Delay 345782 ms, IGT 28:51.557, RTA 35:08.963-40:54.745
Tick 34647(34633), Delay 67 ms, IGT 28:51.557, RTA 40:54.745-40:54.812, due world load
Tick 34648(34634), Delay 17 ms, IGT 28:51.590, RTA 40:54.812-40:54.829
Tick 35092(35078), Delay 18532 ms, IGT 29:13.790, RTA 41:16.980-41:35.512
Tick 35163(35149), Delay 8511 ms, IGT 29:17.340, RTA 41:39.015-41:47.526
Tick 35232(35218), Delay 3096 ms, IGT 29:20.790, RTA 41:50.928-41:54.024
Tick 35248(35234), Delay 6739 ms, IGT 29:21.590, RTA 41:54.774-42:01.513
Tick 35333(35319), Delay 55 ms, IGT 29:25.840, RTA 42:05.710-42:05.765
Tick 35683(35669), Delay 45 ms, IGT 29:43.340, RTA 42:23.214-42:23.259
Tick 35703(35689), Delay 9026 ms, IGT 29:44.340, RTA 42:24.213-42:33.239
Tick 35791(35777), Delay 7199 ms, IGT 29:48.740, RTA 42:37.591-42:44.790
Tick 35807(35793), Delay 360 ms, IGT 29:49.540, RTA 42:45.540-42:45.900
Tick 35889(35875), Delay 55 ms, IGT 29:53.640, RTA 42:49.949-42:50.004
Tick 36203(36189), Delay 9734 ms, IGT 30:09.340, RTA 43:05.654-43:15.388
Tick 36231(36217), Delay 55 ms, IGT 30:10.740, RTA 43:16.734-43:16.789
Tick 36267(36253), Delay 55 ms, IGT 30:12.540, RTA 43:18.534-43:18.589
Tick 36316(36302), Delay 2515 ms, IGT 30:14.990, RTA 43:20.987-43:23.502
Tick 36408(36394), Delay 3493 ms, IGT 30:19.590, RTA 43:28.051-43:31.544
Tick 36422(36408), Delay 2602 ms, IGT 30:20.290, RTA 43:32.195-43:34.797
Tick 36536(36522), Delay 3586 ms, IGT 30:25.990, RTA 43:40.449-43:44.035
